27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,0380713802,9780380713806,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks
28,Notes from a Small Island,Bill Bryson,3.91,0380727501,9780380727506,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,0380715430,9780380715435,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9780345538376,eng,1728,101233,1550,9/25/2012,Ballantine Books
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.50,0618517650,9780618517657,eng,1184,1710,91,10/21/2004,Houghton Mifflin Harcourt
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,0618346252,9780618346257,eng,398,2128944,13670,9/5/2003,Houghton Mifflin Harcourt
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.50,0618260587,9780618260584,en-US,1216,1618,140,10/1/2002,Houghton Mifflin Harcourt
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,0618391002,9780618391004,eng,218,19822,46,11/5/2003,Houghton Mifflin Harcourt
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.50,0618510826,9780618510825,eng,224,359,6,11/15/2004,Houghton Mifflin Harcourt
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9780976694007,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,0689840926,9780689840920,eng,208,270244,12017,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books
51,Hatchet: A Guide for Using "Hatchet" in the Classroom,Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.00,1557344493,9781557344496,eng,48,36,2,8/28/1994,Teacher Created Resources
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,0385326505,9780385326506,eng,144,2067,334,1/23/2001,Delacorte Press
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,eng,56,6,0,6/10/2003,Cherry Lane Music Company
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9781595580276,en-US,228,99,16,11/1/2005,The New Press
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9781595962805,eng,304,167,4,11/1/2005,Changeling Press
58,Changeling (Changeling  #1),Delia Sherman,3.60,0670059676,9780670059676,eng,256,978,111,8/17/2006,Viking Juvenile
59,The Changeling Sea,Patricia A. McKillip,4.06,0141312629,9780141312620,eng,137,4454,302,4/14/2003,Firebird
61,The Changeling,Zilpha Keatley Snyder,4.17,0595321801,9780595321803,eng,228,1176,96,6/8/2004,iUniverse
63,The Changeling,Kate Horsley,3.55,1590301943,9781590301944,eng,339,301,43,4/12/2005,Shambhala
66,The Changeling (Daughters of England  #15),Phili ppa Carr,3.98,0449146979,9780449146972,eng,369,345,12,8/28/1990,Ivy Books
67,The Known World,Edward P. Jones,3.83,0061159174,9780061159176,eng,388,29686,2626,8/29/2006,Amistad
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9780060762735,en-US,14,55,12,6/15/2004,HarperAudio
69,The Known World,Edward P. Jones,3.83,0060749911,9780060749910,eng,576,22,3,6/15/2004,Harper
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9780273704744,eng,334,1456,82,5/15/2006,FT Press
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,eng,352,52,4,12/14/2005,Archaia
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,0374517193,9780374517199,eng,416,562,37,6/1/1982,Farrar  Straus and Giroux
75,Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,en-US,248,1630,203,5/16/2006,Farrar Straus Giroux
76,Heirs of General Practice,John McPhee,4.17,0374519749,9780374519742,eng,128,268,22,4/1/1986,Farrar Straus and Giroux
77,The Control of Nature,John McPhee,4.24,0374522596,9780374522599,en-US,288,3498,305,9/1/1990,Farrar Straus and Giroux
78,Annals of the Former World,John McPhee,4.34,0374518734,9780374518738,eng,720,3115,228,1/6/1999,Farrar Straus and Giroux
79,Coming Into the Country,John McPhee,4.22,0374522871,9780374522872,eng,448,5704,261,4/1/1991,Farrar Straus and Giroux
